arm	axis	target_steps	roster_prio	env_delta_vs_carrier	desc	roster_note
f2_hard_clip_corr	N	200	2	LOSS_MAX_CLAMP=10.0;SIMOPD_TERM_EVENT=1	[OURS] N0 + f2: hard clip |k1| <= 10 (verl loss_max_clamp) on the corrected base	文献标准硬截
f3_power_corr	N	200	2	DISTILLATION_LOSS_MODE=k1_power;SIMOPD_POWER_ALPHA=1.0;SIMOPD_TERM_EVENT=1	[OURS] N0 + f3: probability-scale power reward (alpha=1) on the corrected base	legacy 效应最大处的 null
g6_seqmean_corr	N	200	2	SIMOPD_LOSS_AGG_MODE=seq-mean-token-mean;SIMOPD_TERM_EVENT=1	[OURS] N0 + g6: per-sequence-mean aggregation on the corrected base	G null 代表
g1_verified_only_corr	N	200	2	DISTILLATION_LOSS_MODE=k1_verified_only;SIMOPD_TERM_EVENT=1	[OURS] N0 + g1: verified-only trajectory gate on the corrected base	G 轴最经典,要评分数
h1_first_segment_corr	N	200	2	DISTILLATION_LOSS_MODE=k1_firstseg;SIMOPD_FIRST_SEGMENT_K=100;SIMOPD_TERM_EVENT=1	[OURS] N0 + h1: supervise only the first 100 tokens, on the corrected base	最短
h2_last_segment_corr	N	200	2	DISTILLATION_LOSS_MODE=k1_lastseg;SIMOPD_FIRST_SEGMENT_K=100;SIMOPD_TERM_EVENT=1	[OURS] N0 + h2: supervise only the last 100 tokens, on the corrected base	照塌
h3_random_segment_corr	N	200	2	DISTILLATION_LOSS_MODE=k1_randseg;SIMOPD_FIRST_SEGMENT_K=100;SIMOPD_TERM_EVENT=1	[OURS] N0 + h3: one random contiguous 100-token window, on the corrected base	H null 代表
h4_random_scatter_corr	N	200	2	DISTILLATION_LOSS_MODE=k1_randscatter;SIMOPD_TERM_EVENT=1	[OURS] N0 + h4: 100 randomly scattered tokens, on the corrected base	窗口 vs 散点,自己的预注册
a1_gkd_mix0.5_n0	N	200	3	DISTILLATION_TOPK=66;SIMOPD_EOS_IDS=151643,151645;SIMOPD_GKD_CACHE=$DATA_DIR/gkd_offpolicy.parquet;SIMOPD_GKD_LAMBDA=0.5;SIMOPD_STOP_IDS=151645	[wave19] a1_gkd_mix0.5 under the v2 dual-stop contract + N0 (k1_termfix): the only change vs the v2 run is the event-level terminator reading	固定混合;要 gkd 缓存 + 预演门
a3_offpolicy_n0	N	200	3	DISTILLATION_TOPK=66;SIMOPD_EOS_IDS=151643,151645;SIMOPD_GKD_CACHE=$DATA_DIR/gkd_offpolicy.parquet;SIMOPD_GKD_LAMBDA=1.0;SIMOPD_STOP_IDS=151645	[wave19] a3_offpolicy under the v2 dual-stop contract + N0 (k1_termfix): the only change vs the v2 run is the event-level terminator reading	纯离策;要 gkd 缓存 + 预演门
a4_dagger_anneal_n0	N	200	3	DISTILLATION_TOPK=66;SIMOPD_EOS_IDS=151643,151645;SIMOPD_GKD_CACHE=$DATA_DIR/gkd_offpolicy.parquet;SIMOPD_GKD_SCHEDULE=mode=linear,start=1.0,end=0.0,warmup=0,decay=250;SIMOPD_STOP_IDS=151645	[wave19] a4_dagger_anneal under the v2 dual-stop contract + N0 (k1_termfix): the only change vs the v2 run is the event-level terminator reading	DAgger 退火;R1/R2 预注册裁决
a5_aggrevate_n0	N	200	3	DISTILLATION_TOPK=66;SIMOPD_A5_KEYS=$DATA_DIR/gkd_offpolicy.parquet.dry;SIMOPD_A5_TMAX_SCHEDULE=mode=linear,start=0,end=16384,warmup=0,decay=250;SIMOPD_EOS_IDS=151643,151645;SIMOPD_STOP_IDS=151645	[wave19] a5_aggrevate under the v2 dual-stop contract + N0 (k1_termfix): the only change vs the v2 run is the event-level terminator reading	AggreVaTe;吃 .dry keys(已在盘上)
